FeatureType,FeatureLabel,FeatureID,OutputItem,Actual,Nominal,Deviation,UpperTol,LowerTol,PassFail
Circle,Origin,1,Coord_X,134.457648,,,,,
Circle,Origin,1,Coord_Y,105.249298,,,,,
Circle,Origin,1,Coord_Z,3.125028,,,,,
Circle,Origin,1,Diameter,3.073973,,,,,
Circle,Origin,1,Radius,1.536986,,,,,
Circle,Origin,1,Circularity,,,0.043884,,,
Ellipse,Y_Axis,2,Coord_X,132.991806,,,,,
Ellipse,Y_Axis,2,Coord_Y,180.192788,,,,,
Ellipse,Y_Axis,2,Coord_Z,3.080528,,,,,
Ellipse,Y_Axis,2,Angle2,87.3052,,,,,
Ellipse,Y_Axis,2,X-Angle2,87.3052,,,,,
Ellipse,Y_Axis,2,Y-Angle2,2.6948,,,,,
Ellipse,Y_Axis,2,Z-Angle2,90.0000,,,,,
Ellipse,Y_Axis,2,Diameter1,3.377056,,,,,
Ellipse,Y_Axis,2,Diameter2,3.132471,,,,,
