FeatureType,FeatureLabel,FeatureID,OutputItem,Actual,Nominal,Deviation,UpperTol,LowerTol,PassFail
Circle,F1,1,Coord_X,0.000060,,,,,
Circle,F1,1,Coord_Y,79.992088,,,,,
Circle,F1,1,Coord_Z,0.082800,,,,,
Circle,F1,1,Diameter,0.175210,,,,,
Circle,F1,1,Radius,0.087605,,,,,
Circle,F1,1,Circularity,,,0.010675,,,
Circle,F2,2,Coord_X,69.273472,,,,,
Circle,F2,2,Coord_Y,40.003660,,,,,
Circle,F2,2,Coord_Z,0.162200,,,,,
Circle,F2,2,Diameter,0.180327,,,,,
Circle,F2,2,Radius,0.090163,,,,,
Circle,F2,2,Circularity,,,0.034463,,,
Circle,F3,3,Coord_X,69.274845,,,,,
Circle,F3,3,Coord_Y,-39.989988,,,,,
Circle,F3,3,Coord_Z,0.117600,,,,,
Circle,F3,3,Diameter,0.179454,,,,,
Circle,F3,3,Radius,0.089727,,,,,
Circle,F3,3,Circularity,,,0.047798,,,
Circle,F4,4,Coord_X,0.013979,,,,,
Circle,F4,4,Coord_Y,-79.988352,,,,,
Circle,F4,4,Coord_Z,0.132000,,,,,
Circle,F4,4,Diameter,0.058484,,,,,
Circle,F4,4,Radius,0.029242,,,,,
Circle,F4,4,Circularity,,,0.000000,,,
Circle,F5,5,Coord_X,-69.272532,,,,,
Circle,F5,5,Coord_Y,-40.000492,,,,,
Circle,F5,5,Coord_Z,0.115500,,,,,
Circle,F5,5,Diameter,0.177791,,,,,
Circle,F5,5,Radius,0.088895,,,,,
Circle,F5,5,Circularity,,,0.012509,,,
Invalid Feature,F6,6,****,*,,,,,
Invalid Feature,F6,6,****,*,,,,,
Invalid Feature,F6,6,****,*,,,,,
Invalid Feature,F6,6,****,*,,,,,
Invalid Feature,F6,6,****,*,,,,,
Invalid Feature,F6,6,****,*,,,,,
Circle,F7,7,Coord_X,46.079976,,,,,
Circle,F7,7,Coord_Y,79.823080,,,,,
Circle,F7,7,Coord_Z,0.144900,,,,,
Circle,F7,7,Diameter,0.178246,,,,,
Circle,F7,7,Radius,0.089123,,,,,
Circle,F7,7,Circularity,,,0.012749,,,
Circle,F8,8,Coord_X,92.134551,,,,,
Circle,F8,8,Coord_Y,0.014740,,,,,
Circle,F8,8,Coord_Z,0.172600,,,,,
Circle,F8,8,Diameter,0.177790,,,,,
