FeatureType,FeatureLabel,FeatureID,OutputItem,Actual,Nominal,Deviation,UpperTol,LowerTol,PassFail
Plane,Flatness_Plane,1,Angle,339.7067,,,,,
Plane,Flatness_Plane,1,X-Angle,89.9956,,,,,
Plane,Flatness_Plane,1,Y-Angle,90.0016,,,,,
Plane,Flatness_Plane,1,Z-Angle,0.0047,,,,,
Plane,Flatness_Plane,1,Flatness,,,0.096025,,,
Circle,Hole,2,Coord_X,-0.000188,,,,,
Circle,Hole,2,Coord_Y,-0.003201,,,,,
Circle,Hole,2,Coord_Z,-0.168600,,,,,
Circle,Hole,2,Diameter,3.060481,,,,,
Circle,Hole,2,Radius,1.530241,,,,,
Circle,Hole,2,Circularity,,,0.149460,,,
Ellipse,Slot,3,Coord_X,0.004511,,,,,
Ellipse,Slot,3,Coord_Y,74.941003,,,,,
Ellipse,Slot,3,Coord_Z,-0.026300,,,,,
Ellipse,Slot,3,Angle2,89.5732,,,,,
Ellipse,Slot,3,X-Angle2,89.5732,,,,,
Ellipse,Slot,3,Y-Angle2,0.4268,,,,,
Ellipse,Slot,3,Z-Angle2,90.0000,,,,,
Ellipse,Slot,3,Diameter1,3.392181,,,,,
Ellipse,Slot,3,Diameter2,3.152337,,,,,
Circle,Notch1,4,Coord_X,-91.691640,,,,,
Circle,Notch1,4,Coord_Y,-4.523843,,,,,
Circle,Notch1,4,Coord_Z,-0.088628,,,,,
Circle,Notch1,4,Diameter,1.969693,,,,,
Circle,Notch1,4,Radius,0.984847,,,,,
Circle,Notch1,4,Circularity,,,0.155547,,,
Circle,Notch2,5,Coord_X,-49.868158,,,,,
Circle,Notch2,5,Coord_Y,-77.019212,,,,,
Circle,Notch2,5,Coord_Z,-0.088128,,,,,
Circle,Notch2,5,Diameter,2.009294,,,,,
Circle,Notch2,5,Radius,1.004647,,,,,
Circle,Notch2,5,Circularity,,,0.123180,,,
Circle,Notch3,6,Coord_X,49.749559,,,,,
Circle,Notch3,6,Coord_Y,-77.009875,,,,,
Circle,Notch3,6,Coord_Z,-0.103428,,,,,
