FeatureType,FeatureLabel,FeatureID,OutputItem,Actual,Nominal,Deviation,UpperTol,LowerTol,PassFail
Plane,Flatness_Plane,1,Angle,258.2571,,,,,
Plane,Flatness_Plane,1,X-Angle,90.0033,,,,,
Plane,Flatness_Plane,1,Y-Angle,90.0160,,,,,
Plane,Flatness_Plane,1,Z-Angle,0.0163,,,,,
Plane,Flatness_Plane,1,Flatness,,,0.137128,,,
Circle,Hole,2,Coord_X,0.001372,,,,,
Circle,Hole,2,Coord_Y,0.002069,,,,,
Circle,Hole,2,Coord_Z,-0.168600,,,,,
Circle,Hole,2,Diameter,3.110626,,,,,
Circle,Hole,2,Radius,1.555313,,,,,
Circle,Hole,2,Circularity,,,0.113059,,,
Ellipse,Slot,3,Coord_X,0.009201,,,,,
Ellipse,Slot,3,Coord_Y,74.936459,,,,,
Ellipse,Slot,3,Coord_Z,-0.026400,,,,,
Ellipse,Slot,3,Angle2,92.8619,,,,,
Ellipse,Slot,3,X-Angle2,92.8619,,,,,
Ellipse,Slot,3,Y-Angle2,2.8619,,,,,
Ellipse,Slot,3,Z-Angle2,90.0000,,,,,
Ellipse,Slot,3,Diameter1,3.439794,,,,,
Ellipse,Slot,3,Diameter2,3.239473,,,,,
Circle,Notch1,4,Coord_X,-91.649902,,,,,
Circle,Notch1,4,Coord_Y,-4.518403,,,,,
Circle,Notch1,4,Coord_Z,-0.088628,,,,,
Circle,Notch1,4,Diameter,2.062132,,,,,
Circle,Notch1,4,Radius,1.031066,,,,,
Circle,Notch1,4,Circularity,,,0.202257,,,
Circle,Notch2,5,Coord_X,-49.842806,,,,,
Circle,Notch2,5,Coord_Y,-77.008105,,,,,
Circle,Notch2,5,Coord_Z,-0.088228,,,,,
Circle,Notch2,5,Diameter,2.042274,,,,,
Circle,Notch2,5,Radius,1.021137,,,,,
Circle,Notch2,5,Circularity,,,0.099730,,,
Circle,Notch3,6,Coord_X,49.788369,,,,,
Circle,Notch3,6,Coord_Y,-77.063936,,,,,
Circle,Notch3,6,Coord_Z,-0.103428,,,,,
Circle,Notch3,6,Diameter,2.015292,,,,,
Circle,Notch3,6,Radius,1.007646,,,,,
Circle,Notch3,6,Circularity,,,0.057381,,,
Circle,Notch4,7,Coord_X,91.725936,,,,,
Circle,Notch4,7,Coord_Y,-4.670170,,,,,
Circle,Notch4,7,Coord_Z,-0.085928,,,,,
Circle,Notch4,7,Diameter,2.025049,,,,,
Circle,Notch4,7,Radius,1.012525,,,,,
Circle,Notch4,7,Circularity,,,0.111621,,,
Circle,Notch5,8,Coord_X,41.894608,,,,,
Circle,Notch5,8,Coord_Y,81.711023,,,,,
Circle,Notch5,8,Coord_Z,-0.092228,,,,,
Circle,Notch5,8,Diameter,2.045673,,,,,
Circle,Notch5,8,Radius,1.022836,,,,,
Circle,Notch5,8,Circularity,,,0.097057,,,
Circle,Notch6,9,Coord_X,-41.767597,,,,,
Circle,Notch6,9,Coord_Y,81.778777,,,,,
Circle,Notch6,9,Coord_Z,-0.092328,,,,,
Circle,Notch6,9,Diameter,2.079697,,,,,
Circle,Notch6,9,Radius,1.039848,,,,,
Circle,Notch6,9,Circularity,,,0.100944,,,
Circle,MB1,10,Coord_X,-96.648913,,,,,
Circle,MB1,10,Coord_Y,0.103379,,,,,
Circle,MB1,10,Coord_Z,-0.350209,,,,,
Circle,MB1,10,Diameter,5.615450,,,,,
Circle,MB1,10,Radius,2.807725,,,,,
Circle,MB1,10,Circularity,,,0.022100,,,
Circle,MB2,11,Coord_X,-48.366136,,,,,
Circle,MB2,11,Coord_Y,-83.667748,,,,,
Circle,MB2,11,Coord_Z,-0.152700,,,,,
Circle,MB2,11,Diameter,5.641999,,,,,
Circle,MB2,11,Radius,2.820999,,,,,
Circle,MB2,11,Circularity,,,0.076423,,,
Circle,MB3,12,Coord_X,48.313960,,,,,
Circle,MB3,12,Coord_Y,-83.717636,,,,,
Circle,MB3,12,Coord_Z,-0.266200,,,,,
Circle,MB3,12,Diameter,5.597430,,,,,
Circle,MB3,12,Radius,2.798715,,,,,
Circle,MB3,12,Circularity,,,0.013307,,,
Circle,MB4,13,Coord_X,96.698987,,,,,
Circle,MB4,13,Coord_Y,-0.044565,,,,,
Circle,MB4,13,Coord_Z,-0.511009,,,,,
Circle,MB4,13,Diameter,5.589934,,,,,
Circle,MB4,13,Radius,2.794967,,,,,
Circle,MB4,13,Circularity,,,0.052618,,,
Circle,MB5,14,Coord_X,48.345216,,,,,
Circle,MB5,14,Coord_Y,83.617588,,,,,
Circle,MB5,14,Coord_Z,-0.194300,,,,,
Circle,MB5,14,Diameter,5.410390,,,,,
Circle,MB5,14,Radius,2.705195,,,,,
Circle,MB5,14,Circularity,,,0.055564,,,
Circle,MB6,15,Coord_X,-48.301081,,,,,
Circle,MB6,15,Coord_Y,83.824621,,,,,
Circle,MB6,15,Coord_Z,-0.194400,,,,,
Circle,MB6,15,Diameter,5.696395,,,,,
Circle,MB6,15,Radius,2.848198,,,,,
Circle,MB6,15,Circularity,,,0.018541,,,
