FeatureType,FeatureLabel,FeatureID,OutputItem,Actual,Nominal,Deviation,UpperTol,LowerTol,PassFail
Circle,Origin,1,Coord_X,133.561614,,,,,
Circle,Origin,1,Coord_Y,105.683194,,,,,
Circle,Origin,1,Coord_Z,3.230328,,,,,
Circle,Origin,1,Diameter,3.112374,,,,,
Circle,Origin,1,Radius,1.556187,,,,,
Circle,Origin,1,Circularity,,,0.034421,,,
Ellipse,Y_Axis,2,Coord_X,131.847201,,,,,
Ellipse,Y_Axis,2,Coord_Y,180.608510,,,,,
Ellipse,Y_Axis,2,Coord_Z,3.145228,,,,,
Ellipse,Y_Axis,2,Angle2,89.8999,,,,,
Ellipse,Y_Axis,2,X-Angle2,89.8999,,,,,
Ellipse,Y_Axis,2,Y-Angle2,0.1001,,,,,
Ellipse,Y_Axis,2,Z-Angle2,90.0000,,,,,
Ellipse,Y_Axis,2,Diameter1,3.410207,,,,,
Ellipse,Y_Axis,2,Diameter2,3.263225,,,,,
