FeatureType,FeatureLabel,FeatureID,OutputItem,Actual,Nominal,Deviation,UpperTol,LowerTol,PassFail
Circle,C1_c,1,Coord_X,92.707129,,,,,
Circle,C1_c,1,Coord_Y,5.248919,,,,,
Circle,C1_c,1,Coord_Z,0.044200,,,,,
Circle,C1_c,1,Diameter,0.227305,,,,,
Circle,C1_c,1,Radius,0.113652,,,,,
Circle,C1_c,1,Circularity,,,0.015888,,,
Line,C1_x,2,Coord_X,-0.055804,,,,,
Line,C1_x,2,Coord_Y,0.161372,,,,,
Line,C1_x,2,Coord_Z,0.050411,,,,,
Line,C1_x,2,Angle,300.0204,,,,,
Line,C1_x,2,X-Angle,59.9796,,,,,
Line,C1_x,2,Y-Angle,149.9796,,,,,
Line,C1_x,2,Z-Angle,90.0000,,,,,
Line,C1_x,2,Straightness,,,0.003287,,,
Point,C1_L1,3,Coord_X,-1.047226,,,,,
Point,C1_L1,3,Coord_Y,0.031137,,,,,
Point,C1_L1,3,Coord_Z,0.128176,,,,,
Point,C1_L2,4,Coord_X,0.835867,,,,,
Point,C1_L2,4,Coord_Y,0.028681,,,,,
Point,C1_L2,4,Coord_Z,0.132128,,,,,
Distance,C1_Length,5,SC,1.883099,,,,,
Distance,C1_Length,5,LC,1.883095,,,,,
Distance,C1_Length,5,DX,1.883094,,,,,
Distance,C1_Length,5,DY,-0.002456,,,,,
Distance,C1_Length,5,DZ,0.003952,,,,,
Point,C1_W,6,Coord_X,-0.000947,,,,,
Point,C1_W,6,Coord_Y,-0.588112,,,,,
Point,C1_W,6,Coord_Z,0.131461,,,,,
Circle,C2_c,7,Coord_X,50.869588,,,,,
Circle,C2_c,7,Coord_Y,-88.159048,,,,,
Circle,C2_c,7,Coord_Z,0.056900,,,,,
Circle,C2_c,7,Diameter,0.218708,,,,,
Circle,C2_c,7,Radius,0.109354,,,,,
Circle,C2_c,7,Circularity,,,0.014892,,,
Line,C2_x,8,Coord_X,-0.003897,,,,,
Line,C2_x,8,Coord_Y,-0.079785,,,,,
Line,C2_x,8,Coord_Z,0.076410,,,,,
Line,C2_x,8,Angle,59.9617,,,,,
Line,C2_x,8,X-Angle,59.9617,,,,,
Line,C2_x,8,Y-Angle,30.0383,,,,,
Line,C2_x,8,Z-Angle,90.0000,,,,,
Line,C2_x,8,Straightness,,,0.002947,,,
Point,C2_L1,9,Coord_X,-0.977978,,,,,
Point,C2_L1,9,Coord_Y,-0.029225,,,,,
Point,C2_L1,9,Coord_Z,0.138781,,,,,
Point,C2_L2,10,Coord_X,1.060976,,,,,
Point,C2_L2,10,Coord_Y,-0.028726,,,,,
Point,C2_L2,10,Coord_Z,0.140528,,,,,
Distance,C2_Length,11,SC,2.038954,,,,,
