FeatureType,FeatureLabel,FeatureID,OutputItem,Actual,Nominal,Deviation,UpperTol,LowerTol,PassFail
Circle,Front_origin,1,Coord_X,133.566198,,,,,
Circle,Front_origin,1,Coord_Y,104.172963,,,,,
Circle,Front_origin,1,Coord_Z,3.075490,,,,,
Circle,Front_origin,1,Diameter,0.192407,,,,,
Circle,Front_origin,1,Radius,0.096203,,,,,
Circle,Front_origin,1,Circularity,,,0.020257,,,
Circle,Front_Y_Axis,2,Coord_X,131.401499,,,,,
Circle,Front_Y_Axis,2,Coord_Y,184.137118,,,,,
Circle,Front_Y_Axis,2,Coord_Z,3.247490,,,,,
Circle,Front_Y_Axis,2,Diameter,0.197480,,,,,
Circle,Front_Y_Axis,2,Radius,0.098740,,,,,
Circle,Front_Y_Axis,2,Circularity,,,0.025829,,,
