FeatureType,FeatureLabel,FeatureID,OutputItem,Actual,Nominal,Deviation,UpperTol,LowerTol,PassFail
Circle,F1,1,Coord_X,0.005195,,,,,
Circle,F1,1,Coord_Y,79.995192,,,,,
Circle,F1,1,Coord_Z,0.285300,,,,,
Circle,F1,1,Diameter,0.193227,,,,,
Circle,F1,1,Radius,0.096614,,,,,
Circle,F1,1,Circularity,,,0.007508,,,
Circle,F2,2,Coord_X,69.271401,,,,,
Circle,F2,2,Coord_Y,39.994221,,,,,
Circle,F2,2,Coord_Z,0.162100,,,,,
Circle,F2,2,Diameter,0.203392,,,,,
Circle,F2,2,Radius,0.101696,,,,,
Circle,F2,2,Circularity,,,0.043825,,,
Circle,F3,3,Coord_X,69.279696,,,,,
Circle,F3,3,Coord_Y,-39.996250,,,,,
Circle,F3,3,Coord_Z,0.117700,,,,,
Circle,F3,3,Diameter,0.191704,,,,,
Circle,F3,3,Radius,0.095852,,,,,
Circle,F3,3,Circularity,,,0.025657,,,
Circle,F4,4,Coord_X,0.002869,,,,,
Circle,F4,4,Coord_Y,-79.993462,,,,,
Circle,F4,4,Coord_Z,0.132000,,,,,
Circle,F4,4,Diameter,0.137005,,,,,
Circle,F4,4,Radius,0.068502,,,,,
Circle,F4,4,Circularity,,,0.022355,,,
Circle,F5,5,Coord_X,-69.282104,,,,,
Circle,F5,5,Coord_Y,-39.996461,,,,,
Circle,F5,5,Coord_Z,0.115600,,,,,
Circle,F5,5,Diameter,0.195670,,,,,
Circle,F5,5,Radius,0.097835,,,,,
Circle,F5,5,Circularity,,,0.012250,,,
Circle,F6,6,Coord_X,-69.282767,,,,,
Circle,F6,6,Coord_Y,39.997863,,,,,
Circle,F6,6,Coord_Z,0.070600,,,,,
Circle,F6,6,Diameter,0.196899,,,,,
Circle,F6,6,Radius,0.098450,,,,,
Circle,F6,6,Circularity,,,0.015339,,,
Circle,F7,7,Coord_X,46.079075,,,,,
Circle,F7,7,Coord_Y,79.830053,,,,,
Circle,F7,7,Coord_Z,0.312200,,,,,
Circle,F7,7,Diameter,0.194732,,,,,
Circle,F7,7,Radius,0.097366,,,,,
Circle,F7,7,Circularity,,,0.000000,,,
Circle,F8,8,Coord_X,92.142063,,,,,
Circle,F8,8,Coord_Y,0.001876,,,,,
Circle,F8,8,Coord_Z,0.172300,,,,,
Circle,F8,8,Diameter,0.198423,,,,,
Circle,F8,8,Radius,0.099211,,,,,
Circle,F8,8,Circularity,,,0.074423,,,
Circle,F9,9,Coord_X,46.093508,,,,,
Circle,F9,9,Coord_Y,-79.836541,,,,,
Circle,F9,9,Coord_Z,0.213800,,,,,
Circle,F9,9,Diameter,0.193406,,,,,
Circle,F9,9,Radius,0.096703,,,,,
Circle,F9,9,Circularity,,,0.031458,,,
Circle,F10,10,Coord_X,-46.061339,,,,,
Circle,F10,10,Coord_Y,-79.843773,,,,,
Circle,F10,10,Coord_Z,0.213800,,,,,
Circle,F10,10,Diameter,0.196941,,,,,
Circle,F10,10,Radius,0.098470,,,,,
Circle,F10,10,Circularity,,,0.014334,,,
Circle,F11,11,Coord_X,-92.175646,,,,,
Circle,F11,11,Coord_Y,0.006852,,,,,
Circle,F11,11,Coord_Z,0.152500,,,,,
